,text,sad-watson,joy-watson,fear-watson,disgust-watson,anger-watson,sentiment-watson
0,u still there,0.0,0.0,0.0,0.0,0.0,0.0
1,call my #,0.0,0.0,0.0,0.0,0.0,0.0
2,"Really, you are better than this (calling these ads that is).",0.104426,0.509384,0.041365,0.060137,0.139513,0.839205
3,We're a bunch of guys working to reduce demand for girls and women being sold for sex against their will. May I text you information on where to get anonymous help for your addiction?,0.26358,0.087135,0.157997,0.286014,0.279036,-0.672695
4,"lots of danger, including jail",0.142407,0.025171,0.72831,0.215535,0.172101,-0.971433
5,You can go back to city ads to see picture.,0.250134,0.212837,0.093741,0.091304,0.064609,0.797687
6,u there anymore,0.853017,0.011759,0.164932,0.087395,0.054938,-0.401081
7,what services?,0.0,0.0,0.0,0.0,0.0,0.0
8,"sorry, i was unavailable, how can i helpu",0.337562,0.003406,0.438921,0.054807,0.040053,-0.952454
9,Yay! I'm soooo glad you're close,0.020716,0.894415,0.060479,0.010339,0.013922,0.982029
10,what do u got in mind,0.180157,0.292984,0.110738,0.058939,0.149639,0.0
11,You sounds like you new to this. This kind of behavior can ruin your life and we want to keep that from happening ,0.526495,0.170603,0.198976,0.060748,0.253531,0.342354
12,out in either,0.0,0.0,0.0,0.0,0.0,0.0
13,r u there?,0.0,0.0,0.0,0.0,0.0,0.0
14,where?,0.0,0.0,0.0,0.0,0.0,0.0
15,kk! just give me a call for details,0.047097,0.679168,0.024957,0.040369,0.046178,0.82367
16,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.105736,0.013966,0.234844,0.584276,0.141328,-0.783715
17,maybe ?? ??,0.0,0.0,0.0,0.0,0.0,0.0
18,"hey, srry..busy day...",0.259714,0.352572,0.084394,0.019453,0.071033,-0.849681
19,"Ok, well...",0.0,0.0,0.0,0.0,0.0,0.0
20,u there?,0.0,0.0,0.0,0.0,0.0,0.0
21,still there -  trying to help if you'l let me,0.469959,0.110973,0.08337,0.025828,0.100686,0.0
22,You could look out for the girls too. Thank you for your cooperation. Don't text an ad like this again or you will go on the priority list.,0.054577,0.507278,0.024212,0.121809,0.032028,0.848453
23,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",0.084107,0.003624,0.490256,0.376196,0.455092,-0.761636
24,hmmmm,0.0,0.0,0.0,0.0,0.0,0.0
25,What u lookin 4?,0.137917,0.116346,0.127005,0.078283,0.105373,0.0
26,Trauma will do that to you :(,0.890009,0.010448,0.205345,0.025563,0.072191,-0.983492
27,u alright?,0.0,0.0,0.0,0.0,0.0,0.0
28,what you want and how much you want it ;),0.18256,0.512227,0.05017,0.015968,0.041323,0.961806
29,Do you know that buying sex is illegal?,0.152622,0.009134,0.021729,0.535686,0.29762,0.0
30,Outcall or incall?,0.137917,0.114395,0.097789,0.085815,0.105373,0.0
31,"pics are on the ad, new pics are only for people i know (sorry!), prices depend on what you have in mind!",0.163776,0.544863,0.056338,0.041738,0.036832,-0.579218
32,can you call?,0.0,0.0,0.0,0.0,0.0,0.0
33,depends...u got roses?,0.044064,0.404538,0.103751,0.032655,0.098297,0.0
34,what u into?,0.0,0.0,0.0,0.0,0.0,0.0
35,I am glad you know about it now.  I expect you will behave better and there won't be a next time.,0.146913,0.51142,0.041068,0.062947,0.104175,0.800017
36,What beer company and what do you do for them?,0.133046,0.415964,0.025979,0.034548,0.029564,0.0
37,Why go there?,0.0,0.0,0.0,0.0,0.0,0.0
38,are you still with me paul?,0.58912,0.047385,0.109743,0.250214,0.160878,0.0
39,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
40,wanna play?,0.0,0.0,0.0,0.0,0.0,0.0
41,?? I'm just trying to have some conversations and see where people's heads are at on this.,0.358644,0.038175,0.136278,0.345559,0.211235,-0.461996
42,Please go to www.sabayarea.org and www.sexhelp.com/am-i-a-sex-addict. Please see women as humans not objects for sale. You can do this. Thank you.,0.030067,0.233101,0.07545,0.026607,0.029818,0.0
43,$$,0.0,0.0,0.0,0.0,0.0,0.0
44,hangin out 4 u,0.0,0.0,0.0,0.0,0.0,0.0
45,:)?,0.0,0.0,0.0,0.0,0.0,0.0
46,Please look at www.lpnp.org. Please see women as humans not objects for sale. You can do this. You are not alone.,0.039289,0.107778,0.08695,0.053894,0.029514,-0.460337
47,are you aware of that???,0.0,0.0,0.0,0.0,0.0,0.0
48,I'm done ,0.0,0.0,0.0,0.0,0.0,0.0
49,do you understand?,0.0,0.0,0.0,0.0,0.0,0.0
50,attempt again... I will move for better reception... sowwiie,0.361082,0.455335,0.073577,0.039748,0.05117,-0.674601
51,hey urself,0.095048,0.253275,0.05582,0.052446,0.069459,0.910776
52,Lookin for in/ out?,0.0,0.0,0.0,0.0,0.0,0.0
53,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",0.084107,0.003624,0.490256,0.376196,0.455092,-0.761636
54,Amazing! Please tell me just one girls story,0.073216,0.843445,0.024699,0.037148,0.008961,0.978355
55,hiya,0.0,0.0,0.0,0.0,0.0,0.0
56,no one perfect on this side,0.170496,0.169185,0.09518,0.152734,0.089917,0.289077
57,when,0.0,0.0,0.0,0.0,0.0,0.0
58,call for rates,0.23102,0.068628,0.140285,0.183157,0.12635,0.0
59,no scare here,0.0,0.0,0.0,0.0,0.0,0.0
60,what do'nt understand?,0.140657,0.111159,0.099721,0.08522,0.10245,0.0
61,Are you really down that bad dude?,0.522002,0.00688,0.235491,0.239125,0.371798,-0.861827
62,call me,0.0,0.0,0.0,0.0,0.0,0.0
63,I was thinking maybe 6 to 12 ,0.24191,0.082359,0.232175,0.080072,0.132195,0.0
64,"So, Are you aware that many of the girls who get involved in prostitution are minors?",0.095383,0.065297,0.175558,0.552048,0.134396,-0.743029
65,You?,0.0,0.0,0.0,0.0,0.0,0.0
66,call me?,0.0,0.0,0.0,0.0,0.0,0.0
67,hi,0.0,0.0,0.0,0.0,0.0,0.0
68,What are you into?,0.0,0.0,0.0,0.0,0.0,0.0
69,hey u wouldnt take advantage of me now,0.056819,0.335762,0.02457,0.040068,0.054314,0.344837
70,"You don't have to offer.  You just have to solicit, which is exactly what you did.  Your information is available for police follow up. Have a great night.",0.021686,0.287402,0.067448,0.024508,0.021222,0.534632
71,We want guys to be aware of that and make better choices that don't harm or hurt these women.,0.704479,0.077934,0.165094,0.199213,0.072279,0.569795
72,how much u hav?,0.202944,0.10314,0.109521,0.084027,0.092545,0.0
73,mission valley right now,0.092011,0.3098,0.059873,0.0383,0.069395,0.0
74,oh yeah u like that? hehe ur cute,0.01953,0.94672,0.019142,0.004176,0.009892,0.953163
75,u got roses?,0.0,0.0,0.0,0.0,0.0,0.0
76,yes how are you?,0.0,0.0,0.0,0.0,0.0,0.0
77,Fast easy money for their pimps.  All the girls get is abuse if they don't give their daily quota to their pimp,0.124825,0.16448,0.179728,0.405514,0.39641,-0.822045
78,do you like to work out?,0.22335,0.193404,0.151058,0.065663,0.102912,0.0
79,sure... ,0.0,0.0,0.0,0.0,0.0,0.0
80,i could what r u lookn 4?,0.264511,0.119414,0.242249,0.043141,0.066615,0.0
81,that's really kind. you seem very nice. find a nice young lady to spend time with. I don't think you understand what I do.,0.183381,0.743687,0.044748,0.010439,0.041208,0.90432
82,How are you doing?,0.0,0.0,0.0,0.0,0.0,0.0
83,It's hella stressful right now.  Things are crazy now.,0.164244,0.16635,0.244259,0.044422,0.575861,-0.955125
