,text
0,u still there
1,call my #
2,"Really, you are better than this (calling these ads that is)."
3,We're a bunch of guys working to reduce demand for girls and women being sold for sex against their will. May I text you information on where to get anonymous help for your addiction?
4,"lots of danger, including jail"
5,You can go back to city ads to see picture.
6,u there anymore
7,what services?
8,"sorry, i was unavailable, how can i helpu"
9,Yay! I'm soooo glad you're close
10,what do u got in mind
11,You sounds like you new to this. This kind of behavior can ruin your life and we want to keep that from happening 
12,out in either
13,r u there?
14,where?
15,kk! just give me a call for details
16,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
17,maybe ?? ??
18,"hey, srry..busy day..."
19,"Ok, well..."
20,u there?
21,still there -  trying to help if you'l let me
22,You could look out for the girls too. Thank you for your cooperation. Don't text an ad like this again or you will go on the priority list.
23,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
24,hmmmm
25,What u lookin 4?
26,Trauma will do that to you :(
27,u alright?
28,what you want and how much you want it ;)
29,Do you know that buying sex is illegal?
30,Outcall or incall?
31,"pics are on the ad, new pics are only for people i know (sorry!), prices depend on what you have in mind!"
32,can you call?
33,depends...u got roses?
34,what u into?
35,I am glad you know about it now.  I expect you will behave better and there won't be a next time.
36,What beer company and what do you do for them?
37,Why go there?
38,are you still with me paul?
39,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
40,wanna play?
41,?? I'm just trying to have some conversations and see where people's heads are at on this.
42,Please go to www.sabayarea.org and www.sexhelp.com/am-i-a-sex-addict. Please see women as humans not objects for sale. You can do this. Thank you.
43,$$
44,hangin out 4 u
45,:)?
46,Please look at www.lpnp.org. Please see women as humans not objects for sale. You can do this. You are not alone.
47,are you aware of that???
48,I'm done 
49,do you understand?
50,attempt again... I will move for better reception... sowwiie
51,hey urself
52,Lookin for in/ out?
53,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
54,Amazing! Please tell me just one girls story
55,hiya
56,no one perfect on this side
57,when
58,call for rates
59,no scare here
60,what do'nt understand?
61,Are you really down that bad dude?
62,call me
63,I was thinking maybe 6 to 12 
64,"So, Are you aware that many of the girls who get involved in prostitution are minors?"
65,You?
66,call me?
67,hi
68,What are you into?
69,hey u wouldnt take advantage of me now
70,"You don't have to offer.  You just have to solicit, which is exactly what you did.  Your information is available for police follow up. Have a great night."
71,We want guys to be aware of that and make better choices that don't harm or hurt these women.
72,how much u hav?
73,mission valley right now
74,oh yeah u like that? hehe ur cute
75,u got roses?
76,yes how are you?
77,Fast easy money for their pimps.  All the girls get is abuse if they don't give their daily quota to their pimp
78,do you like to work out?
79,sure... 
80,i could what r u lookn 4?
81,that's really kind. you seem very nice. find a nice young lady to spend time with. I don't think you understand what I do.
82,How are you doing?
83,It's hella stressful right now.  Things are crazy now.
84,Do you know that most of the girls behind these ads are doing so against their will and many are minors?
85,sorry i m in mid of finishing
86,If it were just a physical need you'd be able to take care of it yourself. So I think there's more to it than that.
87,giv me a call? :D
88,in / out hr/hhr?
89,give me a call
90,"sir, you were asking for rates"
91,Yeah been doing this for awhile. Did you know is another source of satisfaction in life apart from sex on the side?
92,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
93,still there?
94,whatcha lookin to do
95,thank you -bye Chris
96,"Plus, you have to be careful that you're not talking to a cop or something. I'm not a cop by the way."
97,Please look at www.sa.org/f2f/united-states-of-america/kansas/. 
98,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
99,"Good evening, you reached out to one of our prostitution ads back in September. Just wanted to check in and see how you were doing and if you've had the compulsion to buy since then?"
100,call me up 
101,pics r on my ad
102,call me to set somthing up
103,So this isn't actually Alexa.\n I’m working with a bunch of guys who are trying to interrupt demandfor victims of trafficking and I’m wondering if you would be willing to help us out?
104,hey are you going to call or not
105,Please look at sa-detroit.com. Please see women as humans not objects for sale. You can do this.
106,How long? what do u have in mind?
107,free in a bit U?
108,Does any of this bother you as much as it does me?
109,Still with me? Did you miss the cooperation portion above perhaps?
110,Hahaha sorry I was away from my phone
111,the phone call dropped ! call again :)
112,how quick are we talking ;)
113,why dont you call me and we can discuss
114,call and i'll give you the details <3
115,I'm mobile
116,whatcha lookin 4  me cumming to u or u to me
117,where would we go
118,"Not here to bust you, just help you: Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?"
119,wow...no hi or anything.   I am how u hon
120,Hopefully you will take all this to heart and be a better man for it. Good evening.
121,im gourgeous
122,are you aware of that?
123,I'll send you some stuff but want to send you some relevant stuff. 
124,Wow u r brave...lots of scary girls on here. Luckily I'm NOT one of them:) 
125,"Yeah, it really, really does some times."
126,hey baby
127,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
128,So what are you looking for that a robot cannot provide?
129,cool. i love to travel
130,I am not a cop.
131,"many of them are being trafficked, and it's because guys like you are willing to pay to have sex with them. "
132,Nope... \nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
133,hey baby
134,"Thanks, have a good night."
135,you still there?
136,gimme a call
137,still interested ?
138,You are better than this!
139,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.
140,One last thing. Please consider checking out an SAA group in your area. https://saa-recovery.org/\n\nYou were lucky you called me and not a cop.\n
141,you looking for lacy?
142,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
143,"Typically, the average age of entry is 12-14 years old. And there is no way to know whether she's there of her own free will"
144,r u lookin for fs?
145,I like fun... ??  give me shout
146,I hear ya. i\n could use some myself
147,They don't get to keep the money you know?
148,wat u want
149,awesome. are you aware that buying sex is illegal?
150,hey
151,make sense?
152,hello...again lol!
153,gimme a call :)
154,So you wield your money as power? As a means of control?\n 
155,"Good stuff.  Anyway, I have to go.  It was good speaking with you and I hope you have an amazing rest of your weekend!"
156,sure thing babe. you got roses?
157,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
158,please give me more than ????? 
159,still there?
160,be careful texting while you drive dude :)
161,i am 
162,I want to assist you to be a better man. Do you have friends and family you can get support from?
163,???
164,well thanks! what are you looking for tonight? ;)
165,works just fine. what you looking for?
166,incall/outcall?
167,"yep, what you looking for tonight"
168,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
169,"Hey Vince, you particularly like car play?  What's in it for me?"
170,near the airport
171,"nothing about the ad you responded to was about food man, don't kid yourself"
172,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
173,wat u lookin for?
174,near the airport; $90 hhr
175,"If I sent you this thing that I think has been helpful at showing people what life is really like for me, would you look at it?"
176,do you want everlasting joy?
177,I'm happy to hear that.
178,I've got to go... I'm sorry.
179,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
180,hey! what were you looking for?
181,what did you want?
182,u there?
183,hi
184,fs?
185,What you sellin?
186,Wait is that your name?
187,Hii =) 
188,where u at? what wud u like?
189,"dont care about that, i care about you. "
190,do you believe in someone/something?
191,"Well Kirk, your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?\n"
192,looks like I scared you away.  Please think about what you are doing  - I know there's a good man in there
193,Heyyy what's up?\n
194,"Actually, you should know that I'm Mike. Stacy is not real. I work with some guys who are trying to interrupt demand for victims of trafficking."
195,Where just trying to help guys stop making would could be a life altering huge mistake. What sex I am doesn't really matter.
196,now
197,"Stay away from these ads, and have a great weekend!"
198,Su número ahora está registrado intentando comprar sexo por la red y está disponible para seguimiento policial. Se han hecho arrestos. Se tomará en cuenta su cooperación.
199,we both know what you wanted in response to the ad.
200,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
201,100
202,what do you have in mind?
203,what u lookin for?
204,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
205,"call me, we can talk bout it :)"
206,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
207,What do you do for work?
208,hey
209,Hello! Available any time. 
210,hi there
211,srry. away from phone. Hi :)
212,i em
213,hhr $70
214,"The business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
215,heyyy
216,so no?
217,"are you still there, or shall I mark you down as uncooperative?"
218,"If the demand for something ends, so will the supply. "
219,I'm not sure I'll be able to with the pimp.
220,And remember any response will be noted.Ok please dont call these sites. Be a better man than those cretins abusing women. Good evening..
221,do you really know what you're doing out here is my question
222,hey
223,"These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
224,hey
225,Si
226,let me know what u  really want? :)
227,whatevs
228,not interested in dinner...
229,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
230,"i ask you to read up on prostitution, human trafficking and how this ""job"" effects the women.  "
231,Who's this?
232,Location near 22 & Hayes
233,still there?
234,whats up
235,Well this isn't Jennifer.  But I was wondering if you'd be willing to have a quick conversation. 
236,hey bby! how can i help u??
237,"Never said you were.... \nIf you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
238,You texted me.  I;m glad you reached out.  What brought you to look on these sites? I/m not here to judge
239,well wut u lookin 4 tonight?
240,where u at
241,in call or out?
242,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
